Company,TypeName,Inches,Cpu,Ram,Gpu,Weight,IsFullHD,IsIPS,IsTouchscreen,IsRetina,ResolutionWidth,ResolutionHeight,IsHDD,IsSSD,IsFlashStorage,FlashStorage,MemorySizeHDD_TB,MemorySizeHDD_GB,MemorySizeSSD,CpuSpeed,CpuBrand,GpuBrand,OperatingSystem
10,5,15.6,99,16,107,2.5,0,1,0,0,3840,2160,0,1,0,0.0,0.0,0.0,0.0,2.8,1,3,3
10,0,15.6,68,4,47,2.1,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.3,1,2,3
0,4,14.0,74,8,39,1.8,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
0,3,15.6,74,4,72,2.23,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,3,3
2,1,17.3,102,16,80,2.9,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3
4,3,15.6,54,4,47,2.18,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.0,1,2,3
16,3,13.3,68,8,47,1.5,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,256.0,2.3,1,2,3
10,3,14.0,68,8,47,1.65,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.3,1,2,3
2,3,15.6,77,8,75,1.99,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.5,1,3,3
15,4,13.3,97,8,53,1.31,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,2,3
7,3,15.6,97,8,53,2.05,0,0,0,0,1366,768,1,0,0,0.0,1.0,0.0,0.0,2.7,1,2,3
2,1,17.3,93,32,82,3.8,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,3,3
4,1,15.6,102,16,80,4.42,0,1,0,0,3840,2160,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3
4,1,17.3,102,32,80,4.42,0,1,0,0,3840,2160,1,1,0,0.0,1.0,0.0,512.0,2.8,1,3,3
4,3,15.6,68,4,47,1.95,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.3,1,2,3
7,3,14.0,71,4,47,1.48,0,0,0,0,1366,768,0,1,0,0.0,0.0,0.0,256.0,2.4,1,2,3
2,1,17.3,102,8,75,3.0,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.8,1,3,3
11,1,17.3,102,16,76,2.7,1,0,0,0,1920,1080,1,1,0,0.0,1.0,0.0,256.0,2.8,1,3,3
10,0,14.0,89,8,47,1.8,1,1,1,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.5,1,2,3
10,3,15.6,97,8,72,2.2,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.7,1,3,0
2,0,11.6,37,4,43,1.5,0,0,1,0,1366,768,0,0,1,32.0,0.0,0.0,0.0,1.1,1,2,3
4,1,15.6,77,8,75,2.65,1,0,0,0,1920,1080,0,0,0,0.0,0.0,0.0,0.0,2.5,1,3,3
0,3,15.6,106,8,98,2.2,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,1.8,1,3,3
7,3,14.0,36,2,41,1.44,0,0,0,0,1366,768,0,0,1,32.0,0.0,0.0,0.0,1.6,1,2,3
10,1,15.6,77,8,75,2.5,1,1,0,0,1920,1080,1,1,0,0.0,1.0,0.0,128.0,2.5,1,3,3
10,3,15.6,9,4,16,2.2,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.9,0,0,0
10,3,14.0,97,8,72,1.87,1,1,0,0,1920,1080,0,1,0,0.0,0.0,0.0,256.0,2.7,1,3,3
0,3,15.6,59,6,53,2.1,1,1,1,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.4,1,2,3
7,3,15.6,56,4,47,1.86,1,0,0,0,1920,1080,1,0,0,0.0,0.0,500.0,0.0,2.0,1,2,0
0,3,15.6,102,8,75,2.4,1,0,0,0,1920,1080,1,0,0,0.0,1.0,0.0,0.0,2.8,1,3,1
10,3,13.3,74,4,53,1.44,1,0,0,0,1920,1080,0,1,0,0.0,0.0,0.0,128.0,2.5,1,2,3
10,4,12.5,68,8,47,1.3,0,1,0,0,1366,768,0,1,0,0.0,0.0,0.0,180.0,2.3,1,2,3
10,3,17.3,74,4,66,2.79,0,0,0,0,1600,900,1,0,0,0.0,1.0,0.0,0.0,2.5,1,3,3
2,4,13.3,97,16,53,1.1,1,0,1,0,1920,1080,0,1,0,0.0,0.0,0.0,512.0,2.7,1,2,3
0,3,15.6,56,4,47,2.4,0,0,0,0,1366,768,1,0,0,0.0,0.0,500.0,0.0,2.0,1,2,3
